ID_Cliente;Nome_Completo;Idade;Sexo;CPF;Estado;Cidade;Região;Tempo_de_Casa;Perfil_Investidor;Patrimonio_Total;Renda_Fixa;Acoes;FIIs;Cripto;ETFs;Tesouro;Valor_Pago_Corretora;Data_Cadastro;Ultimo_Acesso_Plataforma;Ativo
29;Enzo Gabriel Campos;66;Outro;90.2.787.429-80;SP;Aragão Verde;Sudeste;1.4;Moderado;954140.99;0.15;0.03;0.02;0.04;0.06;0.1;9250.67;2012-09-11;2025-04-28;Sim
30;Nicolas das Neves;80;N;80.8.760.385-00;SP;Cardoso;Sudeste;8.3;Moderado;478368.85;0.11;0.38;0.15;0.08;0.07;0.15;2697.33;2020-01-23;2026-11-03;Sim
31;Ana Carolina Dias;32;M;71.2.748.467-81;MG;Azevedo;Sudeste;3.6;Conservador;41508.09;0.38;0.18;0.28;0.01;0.19;0.46;135.61;2022-09-06;2021-07-15;Sim
32;Sr. Luiz Gustavo Duarte;60;N;27.8.755.886-00;PA;Rodrigues do Oeste;Norte;12.3;Conservador;184451.76;0.36;0.35;0.11;0.08;0.08;0.44;786.26;2025-04-06;2031-09-07;Atv
33;Thiago Ribeiro;26;;95.1.718.702-50;RJ;Ribeiro;Sudeste;14.8;Arrojado;3149249.9;0.11;0.25;0.13;0.19;0.37;0.17;26262.07;2019-10-24;2022-12-13;Sim
34;Caroline Castro;57;M;34.3.161.172-97;SP;Pinto;Sudeste;14.3;Moderado;825220.23;0.08;0.16;0.03;0.03;0.13;0.12;5788.42;2024-05-17;2035-01-17;Sim
35;Júlia Rezende;27;F;74.7.407.482-66;MG;Castro;Sudeste;13.1;Consrvador;59380.19;0.26;0.21;0.23;0.08;0.03;0.07;413.15;2016-08-31;2021-10-16;Atv
36;Sabrina Mendes;43;Outro;09.0.974.395-90;SP;Farias;Sudeste;8.6;Moderado;711150.96;0.13;0.34;0.08;0.04;0.1;0.05;4692.53;2011-09-02;2009-05-05;
37;Luiz Otávio Porto;29;F;28.5.884.247-70;SP;Pereira;Sudeste;5.5;Arrojado;7907236.97;0.2;0.06;0.25;0.02;0.32;0.03;24127.31;2013-11-24;2020-03-29;N
38;Lucas Gabriel Farias;47;Outro;49.6.513.709-47;GO;Pires;Centro-Oeste;8.4;Conservador;94197.95;0.05;0.09;0.27;0.07;0.08;0.38;256.45;2013-10-05;2012-04-03;Sim
39;Ana Luiza Barros;41;;69.2.617.964-60;ES;Carvalho;Sudeste;7.4;Arrojado;1568953.37;0.25;0.18;0.16;0.06;0.38;0.18;4357.82;2024-05-20;2036-03-01;N
40;Davi Luiz Oliveira;59;;00.5.329.318-58;SP;Rocha de da Rosa;Sudeste;1.8;Conservador;171234.59;0.07;0.22;0.39;0.04;0.08;0.34;1504.17;2023-06-17;2033-05-20;Não
41;Ana Carolina da Cunha;55;Outro;02.4.026.811-36;SP;Almeida das Flores;Sudeste;1.6;Moderado;819494.86;0.24;0.11;0.39;0.1;0.11;0.12;7319.39;2025-05-07;2023-02-18;Não
42;Esther Pereira;49;N;11.5.921.249-09;RJ;da Costa de da Mota;Sudeste;0.5;Conservador;90949.08;0.16;0.29;0.36;0.07;0.06;0.31;908.46;2015-02-24;2023-11-19;Sim
43;Benício Viana;39;N;66.1.565.452-04;MG;Lopes;Sudeste;10.8;Arrojado;5775011.54;0.14;0.06;0.28;0.34;0.26;0.12;21484.11;2015-09-08;2025-07-16;N
44;Nathan Rocha;21;Outro;94.5.198.327-99;MG;Caldeira;Sudeste;1.8;Conservador;19552.79;0.07;0.32;0.22;0.06;0.11;0.37;94.42;2011-08-12;2020-10-27;
45;Diego Campos;66;Outro;55.0.229.612-10;SP;Duarte;Sudeste;8.4;Moderado;291908.25;0.08;0.17;0.22;0.08;0.12;0.05;2005.98;2019-04-12;2018-07-06;
46;Miguel Farias;45;N;97.6.438.156-15;PR;Cardoso;Sul;2.4;Moderado;535866.0;0.1;0.29;0.31;0.06;0.02;0.07;3720.36;2017-07-04;2019-01-23;
47;Maria Luiza Silveira;29;F;68.3.885.160-19;SP;Ferreira do Oeste;Sudeste;3.8;Arrojado;7004193.03;0.01;0.36;0.0;0.12;0.08;0.08;32394.24;2017-10-08;2017-09-01;N
48;Sra. Eduarda Ferreira;33;N;96.8.164.535-90;SP;Costela da Mata;Sudeste;9.3;Moderado;660607.33;0.17;0.17;0.05;0.0;0.06;0.14;5718.35;2022-01-12;2029-11-15;Sim
49;Sr. André Ramos;49;N;99.7.995.527-96;PR;Cardoso;Sul;2.6;Arrojado;2745133.36;0.23;0.57;0.26;0.06;0.04;0.07;8847.45;2018-06-02;2019-11-01;
50;Luiz Fernando Ferreira;55;;07.9.359.782-04;SP;Monteiro;Sudeste;14.7;Moderado;673135.81;0.11;0.18;0.02;0.04;0.06;0.01;1832.53;2019-10-14;2032-10-31;N
51;Felipe Moura;61;;05.1.518.644-91;CE;da Cruz dos Dourados;Nordeste;5.5;Moderado;985908.46;0.03;0.02;0.28;0.1;0.1;0.13;9211.83;2025-08-16;2034-01-14;S
52;Rafaela Jesus;70;F;81.6.850.542-50;RS;Vieira;Sul;14.1;Conservador;67339.05;0.41;0.14;0.39;0.07;0.08;0.07;301.45;2024-10-27;2032-12-29;S
53;Ana Lívia Cunha;27;F;29.2.706.537-30;DF;Correia do Campo;Centro-Oeste;9.9;Conservador;199995.35;0.11;0.32;0.2;0.05;0.15;0.15;1802.19;2015-09-25;2029-04-26;N
54;Brenda Fogaça;70;F;92.4.075.818-65;MG;da Rocha Alegre;Sudeste;4.2;Conservador;107268.22;0.22;0.19;0.32;0.04;0.19;0.39;542.24;2023-04-09;2034-10-28;Não
55;Maysa Ferreira;41;F;05.1.522.047-70;GO;Fernandes de Barros;Centro-Oeste;0.8;Moderado;924244.97;0.04;0.38;0.09;0.05;0.07;0.09;5560.31;2014-02-07;2019-02-12;Sim
56;Lara Freitas;68;;71.1.798.089-32;MG;Almeida;Sudeste;11.6;Moderado;692278.61;0.27;0.09;0.06;0.09;0.12;0.0;2700.66;2012-03-17;2011-01-12;
57;Pedro Miguel Ferreira;20;N;54.0.515.319-29;SP;Pires;Sudeste;11.8;Arrojado;4175344.36;0.17;0.4;0.21;0.14;0.38;0.04;25306.68;2016-04-24;2016-06-29;N
58;Sra. Maria Eduarda Alves;74;M;54.8.687.403-00;SC;Cardoso;Sul;11.6;Moderado;850807.09;0.05;0.19;0.28;0.06;0.16;0.16;4816.79;2020-01-10;2026-05-01;Não
59;Marcelo Azevedo;64;N;16.9.284.511-06;SP;Vieira Grande;Sudeste;7.5;Arrrojado;3987322.18;0.04;0.53;0.3;0.36;0.15;0.07;37458.83;2022-05-24;2033-10-06;Sim
60;Augusto Lima;41;;20.2.970.213-70;SP;Barbosa da Praia;Sudeste;14.7;Arrojado;4835044.66;0.21;0.03;0.35;0.14;0.4;0.07;46335.37;2017-12-13;2019-05-11;N
61;Elisa Cavalcanti;51;N;81.4.473.947-71;SC;Oliveira Grande;Sul;9.7;Conservador;121413.87;0.48;0.15;0.31;0.06;0.11;0.47;485.28;2014-03-19;2013-09-09;N
62;Davi Oliveira;58;F;58.3.132.370-66;SP;da Luz;Sudeste;8.1;Conservador;179837.13;0.31;0.27;0.34;0.03;0.07;0.04;1642.03;2014-09-01;2017-12-04;
63;Dr. Raul Farias;47;;52.8.922.680-01;SP;da Cruz do Campo;Sudeste;8.6;Arrojado;2167941.07;0.27;0.24;0.29;0.19;0.16;0.01;6509.49;2023-03-03;2030-01-02;N
64;Lucas das Neves;55;;22.9.959.001-34;RS;Ramos;Sul;9.4;Moderado;947790.27;0.06;0.19;0.1;0.01;0.04;0.17;6554.37;2017-02-23;2018-12-20;Não
65;Enzo das Neves;62;M;27.6.773.592-99;SP;da Mota;Sudeste;3.7;Arrojado;2897275.42;0.17;0.02;0.36;0.22;0.26;0.12;24507.46;2016-08-02;2025-06-02;Sim
66;Dr. Bernardo Freitas;33;F;59.5.327.877-20;SP;Silva das Flores;Sudeste;1.5;Moderado;980299.3;0.04;0.22;0.13;0.05;0.05;0.07;4236.56;2017-06-01;2025-10-03;N
67;Helena Araújo;41;M;60.9.835.841-92;CE;Ferreira;noredeste;12.7;Conservador;43813.74;0.25;0.2;0.35;0.07;0.09;0.03;238.67;2022-03-14;2027-11-09;N
68;Emanuella Azevedo;63;Outro;78.7.298.259-54;SP;Pinto;Sudeste;3.0;Arrojado;7123587.76;0.04;0.24;0.32;0.14;0.38;0.2;43261.41;2013-09-04;2013-07-26;Não
69;Sra. Larissa Silva;73;M;97.4.993.097-54;SP;Nogueira;Sudeste;1.6;Moderado;674979.72;0.15;0.2;0.23;0.05;0.0;0.1;3599.21;2016-07-09;2023-02-23;
70;Fernando Barbosa;64;M;28.3.857.865-03;SP;Almeida do Galho;Sudeste;10.4;Moderado;318220.57;0.2;0.38;0.04;0.0;0.06;0.01;1681.17;2020-06-12;2033-11-20;
71;Nina da Paz;31;N;57.5.844.198-87;CE;Pinto de Minas;Nordeste;4.5;Moderado;740694.86;0.26;0.32;0.11;0.05;0.19;0.14;7060.22;2024-05-11;2030-10-05;
72;Dr. Rafael Costa;65;;33.0.833.016-42;SP;Santos da Mata;Sudeste;8.1;Conservador;58800.08;0.2;0.14;0.18;0.03;0.1;0.36;556.5;2021-12-09;2027-10-04;Atv
73;Giovanna Nunes;59;;38.0.262.067-46;SP;Vieira Grande;Sudeste;14.5;Conservador;2031.11;0.39;0.16;0.37;0.09;0.1;0.46;9.28;2021-12-25;2023-01-13;Sim
74;Natália Nascimento;69;M;52.7.420.549-60;SP;Jesus;Sudeste;7.4;Moderado;901394.53;0.0;0.04;0.39;0.03;0.2;0.11;8570.9;2013-11-26;2024-12-08;Não
75;Agatha Jesus;79;Outro;49.9.045.301-81;MG;da Rocha das Pedras;Sudeste;3.7;Arrojado;9073384.86;0.25;0.05;0.27;0.07;0.06;0.1;37076.41;2017-07-19;2022-07-22;S
76;Maria Martins;76;N;83.3.918.785-68;RJ;Pires de Pires;Sudeste;6.8;Arrojado;7928569.43;0.21;0.56;0.15;0.09;0.38;0.13;78577.7;2024-01-03;2032-02-10;Atv
77;Luiz Gustavo Ribeiro;26;;67.9.087.406-26;SP;Cardoso;Sudeste;7.3;Arrojado;9125993.44;0.06;0.1;0.34;0.18;0.27;0.11;83878.05;2022-02-18;2031-11-07;N
78;Mirella Melo;46;N;61.8.251.286-50;SP;Duarte;sudets;2.7;Conservador;85315.78;0.49;0.02;0.36;0.1;0.09;0.27;263.07;2015-06-20;2024-08-14;N
79;Enzo Gabriel da Paz;57;M;33.1.190.790-65;RJ;Araújo;Sudeste;2.3;Conservador;151479.7;0.68;0.29;0.17;0.04;0.05;0.23;531.37;2022-01-31;2020-03-25;N
80;Lucas Cardoso;60;;36.4.408.926-49;SP;Peixoto de da Mota;noredeste;11.6;Conservador;151122.76;0.54;0.4;0.09;0.09;0.12;0.07;1291.66;2011-06-05;2016-06-18;Não
81;Sra. Luna Nunes;53;N;68.8.263.435-19;RJ;da Conceição;noredeste;3.4;Arrojado;4430391.69;0.16;0.24;0.12;0.07;0.22;0.14;39254.73;2022-11-10;2025-10-27;Sim
82;Srta. Sophia Cavalcanti;37;M;33.1.739.363-70;MG;das Neves da Serra;Sudeste;8.8;Conservador;107591.47;0.58;0.15;0.24;0.0;0.01;0.03;793.12;2021-10-19;2026-05-23;S
83;Dra. Letícia Barros;73;F;20.4.899.642-65;RJ;Costa;Sudeste;4.8;Arrojado;6838492.06;0.09;0.53;0.19;0.32;0.29;0.07;24789.67;2024-04-26;2031-01-23;Atv
84;Lucas Gabriel Souza;49;F;80.8.010.062-44;SP;Pires do Galho;Sudeste;2.5;Conservador;100360.99;0.46;0.1;0.33;0.1;0.13;0.34;839.0;2018-05-28;2021-12-04;Atv
85;Lavínia da Cruz;80;Outro;08.6.211.823-94;PR;Porto de Ferreira;Sul;8.3;Conservador;101640.85;0.26;0.27;0.25;0.05;0.1;0.31;212.92;2017-11-24;2029-06-30;Atv
86;Pedro Miguel Freitas;42;;70.0.217.659-52;SP;Duarte de Freitas;Sudeste;1.2;Moderado;835949.07;0.02;0.18;0.1;0.07;0.06;0.19;8303.81;2023-06-06;2023-11-12;N
87;Theo Gomes;27;N;14.2.939.685-71;PE;Fogaça;Nordeste;8.5;Conservador;43071.99;0.61;0.19;0.02;0.01;0.19;0.44;97.48;2018-02-14;2017-07-16;Atv
88;Sr. Daniel da Costa;49;F;58.6.629.619-59;SP;Nogueira;Sudeste;14.3;Arrojado;7517472.13;0.15;0.03;0.17;0.34;0.14;0.19;38892.58;2016-05-08;2015-08-02;N
89;Thales da Rosa;46;;88.6.101.581-60;SP;Peixoto;Sudeste;5.4;Moderado;323376.77;0.21;0.3;0.13;0.01;0.0;0.13;1344.64;2022-06-12;2025-02-21;N
90;Dr. Kaique Caldeira;22;F;64.6.471.543-78;RJ;Peixoto;Sudeste;5.7;Conservador;59077.62;0.27;0.36;0.36;0.1;0.11;0.04;183.77;2017-07-28;2024-01-19;Não
91;Pietra Aragão;56;F;75.2.654.793-25;SC;Rocha do Sul;Sul;12.4;Conservador;27962.42;0.0;0.34;0.15;0.09;0.09;0.2;201.56;2017-04-07;2030-04-28;S
92;Vitor Gabriel Nogueira;70;N;72.4.342.661-18;SP;Teixeira da Prata;Sudeste;10.6;Moderado;291110.26;0.17;0.22;0.27;0.06;0.19;0.12;1603.33;2016-08-15;2022-11-18;Sim
93;Clarice Rodrigues;28;;09.6.561.014-48;SP;Fogaça;Sudeste;9.6;Arrojado;5559513.79;0.28;0.33;0.32;0.14;0.36;0.14;14898.69;2024-03-31;2029-07-16;S
94;Alice Nogueira;27;Outro;45.7.387.571-90;SP;Nunes da Serra;Sudeste;1.6;Arrojado;6177118.58;0.13;0.46;0.24;0.2;0.14;0.08;32910.47;2018-01-20;2019-09-15;
95;Ana Teixeira;32;N;22.6.609.379-74;SP;Novaes;Sudeste;7.7;Moderado;235746.44;0.21;0.14;0.04;0.08;0.19;0.0;1512.38;2024-12-08;2032-02-01;N
96;Mirella Araújo;43;;15.5.792.499-69;SP;Pereira;sudets;12.9;Arrojado;8278568.1;0.02;0.52;0.07;0.13;0.18;0.02;51506.93;2020-09-15;2027-06-18;Atv
97;Carolina Barros;36;F;25.7.905.072-80;SP;Nascimento Alegre;Sudeste;8.1;Moderado;293559.12;0.11;0.16;0.24;0.06;0.08;0.03;2745.74;2012-12-12;2016-07-23;N
98;Giovanna Mendes;54;N;88.1.914.858-77;SP;Freitas das Pedras;Sudeste;4.4;Arrojado;5454728.63;0.21;0.5;0.2;0.03;0.01;0.08;22903.44;2014-03-29;2026-01-09;N
99;Lucas Aragão;31;;59.6.292.330-88;PR;Monteiro;Sul;12.3;Conservador;197965.37;0.07;0.3;0.12;0.1;0.09;0.42;1091.3;2014-12-06;2017-04-15;Não
100;Ana Clara Barbosa;26;F;32.5.367.294-86;RJ;Farias;Sudeste;14.4;Conservador;65407.07;0.49;0.11;0.34;0.1;0.14;0.14;541.93;2014-06-15;2015-07-05;
101;Pedro Henrique da Costa;40;M;86.3.637.454-54;MG;Costela;Sudeste;12.7;Conservador;81167.3;0.52;0.35;0.18;0.05;0.12;0.35;222.82;2014-01-11;2024-01-14;
102;Ana Sophia da Rosa;76;F;42.4.154.152-60;SP;Fernandes de Moura;Sudeste;6.8;Moderado;830642.92;0.23;0.02;0.22;0.07;0.0;0.13;8252.19;2018-09-11;2028-01-06;
103;Maria Correia;62;F;71.3.611.155-21;SP;Lima;Sudeste;0.1;Conservador;86416.96;0.06;0.09;0.03;0.06;0.1;0.05;410.36;2013-06-29;2015-12-03;N
104;Alice Lima;23;M;21.9.656.523-79;AM;Novaes do Oeste;Norte;11.2;Conservador;128673.65;0.47;0.23;0.24;0.02;0.07;0.03;1204.28;2012-06-23;2026-01-07;Não
105;Olivia Farias;49;N;13.7.918.055-41;SP;Jesus;Sudeste;2.8;Arrojado;7490616.75;0.09;0.02;0.34;0.35;0.08;0.19;38456.89;2011-12-07;2012-11-18;Não
106;Maria Vitória Costa;63;;66.6.188.924-14;SP;Monteiro;Sudeste;13.8;Moderado;637084.98;0.05;0.39;0.03;0.06;0.0;0.09;6109.29;2025-02-07;2033-10-03;
107;Mirella Moura;47;;90.4.210.202-02;SP;Santos;Sudeste;12.7;Conservador;107741.64;0.27;0.33;0.27;0.01;0.14;0.32;265.39;2019-09-14;2021-05-12;Sim
108;Sr. Kaique Rodrigues;58;M;77.8.507.925-05;RJ;Pinto;Sudeste;6.4;Arrojado;3333222.65;0.11;0.52;0.29;0.05;0.36;0.15;20635.43;2021-08-27;2027-04-12;Atv
109;Laís da Costa;65;N;35.3.654.195-02;SP;da Luz do Galho;Sudeste;2.3;Arrojado;7505005.36;0.07;0.03;0.35;0.1;0.19;0.1;70916.9;2016-10-19;2017-04-26;
110;Paulo Teixeira;65;;37.5.973.832-07;SP;Rezende de Pinto;Sudeste;8.3;Conservador;161063.27;0.69;0.03;0.19;0.03;0.17;0.48;332.39;2021-09-14;2025-12-05;S
111;Dra. Emanuelly Martins;80;F;41.0.386.571-72;SP;Carvalho;Sudeste;3.1;Moderado;708753.47;0.21;0.13;0.3;0.04;0.15;0.0;6991.8;2024-09-07;2033-10-29;Sim
112;Elisa Rezende;22;F;29.1.212.775-08;RJ;Mendes do Sul;Sudeste;10.5;Moderado;259864.39;0.17;0.39;0.09;0.03;0.06;0.09;2048.46;2015-05-21;2022-03-30;Não
113;Sr. Luigi da Rosa;79;Outro;68.0.442.067-52;SP;Ferreira Alegre;Sudeste;3.2;Conservador;90931.5;0.32;0.04;0.32;0.03;0.14;0.43;804.98;2019-01-18;2022-02-06;Não
114;Pietra Freitas;19;M;37.2.151.070-43;RJ;Silveira;Sudeste;9.5;Conservador;160975.45;0.1;0.33;0.39;0.01;0.16;0.01;1152.18;2015-05-25;2028-03-07;Sim
115;Erick Oliveira;48;M;14.6.263.838-40;SP;Duarte de Ribeiro;Sudeste;9.2;Moderado;596901.11;0.11;0.14;0.36;0.03;0.09;0.09;4140.0;2013-11-21;2020-03-26;Atv
116;Sra. Lavínia Aragão;32;F;13.3.480.396-06;SC;Gonçalves;Sul;12.2;Arrojado;8032915.95;0.1;0.19;0.11;0.01;0.24;0.11;34119.5;2021-08-17;2031-12-07;Atv
117;Olivia Farias;49;M;10.3.930.870-85;SP;Moura do Amparo;Sudeste;2.1;Conservador;48073.68;0.22;0.14;0.24;0.07;0.07;0.37;460.88;2014-05-29;2025-03-04;Não
118;Isabel Pereira;43;;15.4.522.675-06;SP;Moraes dos Dourados;Sudeste;12.7;Moderado;773550.11;0.28;0.13;0.01;0.06;0.18;0.17;6873.27;2020-01-21;2021-05-29;
119;Fernando Dias;20;F;95.9.391.725-04;SP;da Mota;Sudeste;14.2;Arrojado;8082926.13;0.07;0.11;0.12;0.28;0.05;0.12;77511.91;2015-04-01;2023-10-03;Atv
120;Vinicius Teixeira;42;N;62.6.765.861-90;PR;da Mota;Sul;1.0;Arrojado;8967882.28;0.03;0.38;0.35;0.18;0.11;0.14;36349.19;2016-01-03;2018-02-26;Sim
121;Sra. Emilly Souza;75;N;06.2.962.015-67;RS;Castro do Oeste;Sul;2.4;Conservador;90806.2;0.56;0.01;0.1;0.01;0.07;0.02;236.1;2014-04-27;2016-02-18;Atv
122;João Guilherme da Luz;58;;73.1.032.417-04;SP;Alves da Prata;Sudeste;0.8;Arrojado;9330162.4;0.16;0.18;0.04;0.16;0.22;0.13;18945.12;2015-09-05;2017-05-14;
123;Augusto Barros;60;M;15.8.693.806-18;SC;Costela do Amparo;Sul;4.0;Arrojado;3385039.57;0.19;0.22;0.15;0.07;0.02;0.08;29438.44;2012-10-16;2025-03-04;
124;Murilo Gomes;29;F;33.2.061.632-34;SC;Rocha de Pires;Sul;8.6;Moderado;658171.43;0.07;0.16;0.34;0.0;0.11;0.06;6490.91;2012-05-20;2015-06-01;N
125;Benjamin Fernandes;54;;91.1.914.856-92;SC;Correia de Campos;Sul;8.8;Conservador;18318.46;0.39;0.34;0.21;0.09;0.0;0.28;151.19;2016-06-08;2018-09-07;Não
126;Ana Julia Barros;39;Outro;44.7.132.475-61;SP;da Costa;Sudeste;3.6;Moderado;229972.54;0.08;0.24;0.28;0.0;0.18;0.03;1831.96;2017-06-15;2023-03-16;Sim
127;Fernanda Cardoso;74;;02.3.303.070-04;SP;Costa;Sudeste;1.0;Conservador;88901.6;0.64;0.19;0.21;0.04;0.01;0.2;682.46;2024-06-09;2033-03-18;Atv
128;Maria das Neves;65;M;40.6.029.333-40;PI;Porto dos Dourados;Nordeste;8.8;Moderado;604101.1;0.19;0.01;0.15;0.06;0.04;0.02;2898.52;2020-02-18;2023-07-11;S
129;Lara Lima;72;Outro;74.3.748.969-45;MG;Castro;Sudeste;9.1;Conservador;173061.36;0.68;0.19;0.05;0.02;0.16;0.34;1651.7;2015-09-12;2021-08-06;N
130;Pedro Lucas da Rosa;66;F;09.6.520.744-70;SP;Cardoso da Serra;Sudeste;4.2;Moderado;649165.69;0.18;0.27;0.19;0.03;0.06;0.06;4705.77;2023-08-13;2030-01-15;Atv
131;Marcos Vinicius Cardoso;48;F;48.2.513.534-08;MT;Almeida;Centro-Oeste;4.5;Arrrojado;9952783.57;0.23;0.41;0.25;0.25;0.18;0.07;33440.29;2014-09-20;2026-12-19;Sim
132;Olivia Ribeiro;21;F;23.5.697.252-86;SP;Azevedo de Goiás;Sudeste;7.5;Arrojado;3646460.09;0.26;0.52;0.23;0.38;0.03;0.09;32599.29;2017-08-03;2025-11-15;N
